entry_ts,exit_ts,entry,stop,target,exit,r,pnl_pct,pnl_abs,bars_held,reason
1519732800000,1520438400000,10.8789,8.6,15.4367,8.6,-1.0,-20.9479,-100.85,49,stop
1521921600000,1542283200000,12.76,7.8,22.68,7.8,-1.0,-38.8715,-99.4,1410,stop
1543953600000,1544140800000,5.79,4.77,7.83,4.77,-1.0,-17.6166,-99.01,13,stop
1546804800000,1547136000000,6.2433,5.7402,7.2495,5.7402,-1.0,-8.0582,-99.32,23,stop
1553601600000,1554220800000,15.8,13.8607,19.6786,19.6786,2.0,24.5481,190.27,43,target
1555833600000,1558454400000,22.6998,17.72,32.6594,32.6594,2.0,43.8753,194.75,180,target
1568808000000,1569211200000,22.26,19.65,27.48,19.65,-1.0,-11.7251,-101.47,28,stop
1571126400000,1574409600000,18.7699,15.7959,24.7179,15.7959,-1.0,-15.8445,-100.0,228,stop
1599984000000,1612166400000,28.5305,18.5283,48.5349,48.5349,2.0,70.1158,194.95,846,target
1618228800000,1621425600000,584.0,337.323,1077.354,337.323,-1.0,-42.2392,-100.17,222,stop
1625558400000,1626739200000,315.6,276.4,394.0,276.4,-1.0,-12.4208,-100.29,82,stop
1627329600000,1628913600000,307.79,254.52,414.33,414.33,2.0,34.6145,194.26,110,target
1659096000000,1667923200000,282.4,239.6,368.0,368.0,2.0,30.3116,197.96,613,target
1673740800000,1686139200000,296.0,259.4,369.2,259.4,-1.0,-12.3649,-103.26,861,stop
1689278400000,1692216000000,253.5,231.1,298.3,231.1,-1.0,-8.8363,-102.86,204,stop
1693483200000,1696867200000,221.2,203.4,256.8,203.4,-1.0,-8.047,-102.03,235,stop
1698033600000,1699142400000,219.0,208.2,240.6,240.6,2.0,9.863,193.07,77,target
1699358400000,1703592000000,246.0,222.3,293.4,293.4,2.0,19.2683,198.84,294,target
1708531200000,1709812800000,366.8,330.2,440.0,440.0,2.0,19.9564,202.85,89,target
1711785600000,1713038400000,598.0,535.5,723.0,535.5,-1.0,-10.4515,-106.48,87,stop
1716249600000,1717516800000,595.7,560.0,667.1,667.1,2.0,11.9859,203.37,88,target
1721433600000,1722700800000,587.5,522.9,716.7,522.9,-1.0,-10.9957,-107.37,88,stop
1726329600000,1733256000000,549.5,471.3,705.9,705.9,2.0,28.4622,207.28,481,target
1733284800000,1738526400000,750.01,607.79,1034.45,607.79,-1.0,-18.9624,-107.57,364,stop
1745337600000,1746835200000,608.52,576.0,673.56,673.56,2.0,10.6882,206.79,104,target
1747857600000,1749153600000,669.0,633.51,739.98,633.51,-1.0,-5.3049,-111.49,90,stop
1753257600000,1758139200000,788.35,685.2,994.65,994.65,2.0,26.1686,211.02,339,target
1759838400000,1760126400000,1263.99,992.93,1806.11,992.93,-1.0,-21.4448,-109.44,20,stop
1778155200000,1780156800000,640.43,610.26,700.77,700.77,2.0,9.4218,210.11,139,target
1781539200000,1781784000000,622.88,580.68,707.28,580.68,-1.0,-6.775,-112.67,17,stop
1785585600000,1786492800000,577.51,556.0,620.53,620.53,2.0,7.4492,210.8,63,target
1787155200000,1787212800000,615.71,600.0,647.13,647.13,2.0,5.1031,212.17,4,target
1787313600000,1788249600000,673.73,600.0,821.19,686.39,0.1717,1.8791,17.26,65,end_of_data
