entry_ts,exit_ts,entry,stop,target,exit,r,pnl_pct,pnl_abs,bars_held,reason
1539633600000,1542196800000,6715.6,6205.0,7736.8,6205.0,-1.0,-7.6032,-102.53,177,stop
1545076800000,1554177600000,3520.0,3156.26,4247.48,4247.48,2.0,20.667,195.84,631,target
1554264000000,1557547200000,4897.99,3936.15,6821.67,6821.67,2.0,39.2749,200.64,228,target
1561579200000,1569340800000,12293.92,8960.0,18961.76,8960.0,-1.0,-27.1184,-103.6,538,stop
1570766400000,1571832000000,8393.0,7762.0,9655.0,7762.0,-1.0,-7.5182,-104.51,74,stop
1578484800000,1584000000000,8207.68,6871.04,10880.96,6871.04,-1.0,-16.2852,-102.0,382,stop
1591099200000,1596297600000,9740.0,8700.0,11820.0,11820.0,2.0,21.3552,197.61,361,target
1597752000000,1598371200000,11980.0,11125.0,13690.0,11125.0,-1.0,-7.1369,-104.57,43,stop
1603123200000,1603281600000,11720.01,11200.0,12760.03,12760.03,2.0,8.8739,196.79,11,target
1605672000000,1608163200000,17373.0,15111.2,21896.6,21896.6,2.0,26.0381,203.69,173,target
1608235200000,1609603200000,22488.0,17572.33,32319.34,32319.34,2.0,43.7182,208.38,95,target
1611936000000,1612814400000,34875.0,29241.72,46141.56,46141.56,2.0,32.3055,212.18,61,target
1636574400000,1637049600000,64270.0,59405.0,74000.0,59405.0,-1.0,-7.5696,-111.75,33,stop
1654084800000,1654992000000,30931.0,28019.56,36753.88,28019.56,-1.0,-9.4127,-110.05,63,stop
1682524800000,1683734400000,29500.0,26942.82,34614.36,26942.82,-1.0,-8.6684,-109.12,84,stop
1689278400000,1689609600000,31170.0,29701.02,34107.96,29701.02,-1.0,-4.7128,-110.05,23,stop
1693483200000,1694433600000,26819.27,25300.0,29857.81,25300.0,-1.0,-5.6648,-108.16,66,stop
1695052800000,1698033600000,26888.0,24901.0,30862.0,30862.0,2.0,14.7798,203.97,207,target
1699545600000,1701792000000,36990.0,34120.0,42730.0,42730.0,2.0,15.5177,208.12,156,target
1704268800000,1704283200000,44184.1,41300.0,49952.3,41300.0,-1.0,-6.5275,-110.8,1,stop
1704801600000,1705608000000,45879.63,40750.0,56138.89,40750.0,-1.0,-11.1806,-108.3,56,stop
1711540800000,1713038400000,68627.81,60775.0,84333.43,60775.0,-1.0,-11.4426,-107.16,104,stop
1716465600000,1719216000000,67700.0,61142.77,80814.46,61142.77,-1.0,-9.6857,-106.4,191,stop
1726588800000,1730160000000,60625.0,55545.19,70784.62,70784.62,2.0,16.7581,203.89,248,target
1730289600000,1731326400000,71587.88,65260.0,84243.64,84243.64,2.0,17.6786,208.05,72,target
1733414400000,1733428800000,99000.0,93578.17,109843.66,93578.17,-1.0,-5.4766,-111.22,1,stop
1736251200000,1736452800000,99892.0,91530.45,116615.1,91530.45,-1.0,-8.3706,-108.72,14,stop
1737374400000,1740456000000,106422.43,89256.69,140753.91,89256.69,-1.0,-16.1298,-106.4,214,stop
1742414400000,1743955200000,85309.71,79939.9,96049.33,79939.9,-1.0,-6.2945,-107.34,107,stop
1745251200000,1745352000000,86496.42,83111.64,93265.98,93265.98,2.0,7.8264,200.66,7,target
1749556800000,1750593600000,108767.24,100372.26,125557.2,100372.26,-1.0,-7.7183,-107.69,72,stop
1751486400000,1752177600000,108789.99,105100.19,116169.59,116169.59,2.0,6.7833,201.65,48,target
1754928000000,1755648000000,119311.11,112650.0,132633.33,112650.0,-1.0,-5.583,-109.7,50,stop
1757520000000,1758816000000,113384.62,109329.12,121495.62,109329.12,-1.0,-3.5768,-110.68,90,stop
1759521600000,1760126400000,122366.0,109027.78,149042.44,109027.78,-1.0,-10.9003,-105.61,42,stop
1776182400000,1780401600000,74924.64,67732.01,89309.9,67732.01,-1.0,-9.5998,-104.79,293,stop
1784044800000,1787212800000,64692.83,61544.56,70989.37,70989.37,2.0,9.733,199.02,220,target
