entry_ts,exit_ts,entry,stop,target,exit,r,pnl_pct,pnl_abs,bars_held,reason
1545120000000,1545321600000,91.69,81.79,111.49,111.49,2.0,21.5945,197.95,14,target
1546502400000,1548590400000,145.42,111.22,213.82,111.22,-1.0,-23.5181,-102.74,145,stop
1550404800000,1550505600000,126.49,116.25,146.97,146.97,2.0,16.191,199.21,7,target
1551009600000,1557604800000,150.0,122.41,205.18,205.18,2.0,36.7867,204.56,457,target
1572076800000,1574409600000,178.0,153.45,227.1,153.45,-1.0,-13.7921,-106.41,162,stop
1578974400000,1579248000000,148.05,135.3,173.55,173.55,2.0,17.2239,205.23,19,target
1581004800000,1581710400000,212.06,175.0,286.18,286.18,2.0,34.9524,210.53,49,target
1588233600000,1589212800000,210.99,178.16,276.65,178.16,-1.0,-15.56,-109.36,68,stop
1594022400000,1595448000000,232.71,221.26,255.61,255.61,2.0,9.8406,209.42,99,target
1595563200000,1596182400000,270.0,231.65,346.7,346.7,2.0,28.4074,216.41,43,target
1596340800000,1605888000000,360.52,283.88,513.8,513.8,2.0,42.5164,221.23,663,target
1609617600000,1609732800000,758.74,620.0,1036.22,1036.22,2.0,36.5712,225.45,8,target
1627344000000,1628380800000,2199.5,1706.0,3186.5,3186.5,2.0,44.8738,230.17,72,target
1633564800000,1642766400000,3545.0,2782.0,5071.0,2782.0,-1.0,-21.5233,-119.0,639,stop
1660147200000,1661011200000,1818.0,1580.39,2293.22,1580.39,-1.0,-13.0699,-118.5,60,stop
1666584000000,1666713600000,1341.73,1252.65,1519.89,1519.89,2.0,13.2784,227.57,9,target
1671062400000,1671177600000,1296.64,1218.01,1453.9,1218.01,-1.0,-6.0641,-121.69,8,stop
1680840000000,1681430400000,1847.28,1709.87,2122.1,2122.1,2.0,14.877,230.03,41,target
1684886400000,1684972800000,1837.5,1771.12,1970.26,1771.12,-1.0,-3.6125,-125.47,6,stop
1685505600000,1686369600000,1872.5,1761.41,2094.68,1761.41,-1.0,-5.9327,-121.6,60,stop
1689350400000,1690848000000,1919.37,1826.0,2106.11,1826.0,-1.0,-4.8646,-121.2,104,stop
1693396800000,1694419200000,1702.11,1580.0,1946.33,1580.0,-1.0,-7.174,-118.42,71,stop
1696248000000,1696867200000,1694.32,1563.01,1956.94,1563.01,-1.0,-7.75,-116.96,43,stop
1705089600000,1708891200000,2481.59,2166.38,3112.01,3112.01,2.0,25.4039,223.92,264,target
1712664000000,1712937600000,3570.58,3202.79,4306.16,3202.79,-1.0,-10.3006,-117.32,19,stop
1728892800000,1731024000000,2526.6,2330.66,2918.48,2918.48,2.0,15.5102,224.89,148,target
1734379200000,1734624000000,4025.18,3509.0,5057.54,3509.0,-1.0,-12.8238,-117.98,17,stop
1742486400000,1743264000000,1960.0,1821.81,2236.38,1821.81,-1.0,-7.0505,-118.25,54,stop
1749556800000,1750435200000,2726.78,2381.49,3417.36,2381.49,-1.0,-12.6629,-115.6,61,stop
1751630400000,1752163200000,2525.0,2373.0,2829.0,2829.0,2.0,12.0396,221.55,37,target
1765411200000,1765814400000,3256.88,2907.52,3955.6,2907.52,-1.0,-10.7268,-117.0,28,stop
1767715200000,1768939200000,3265.66,2944.76,3907.46,2944.76,-1.0,-9.8265,-116.01,85,stop
1775692800000,1779508800000,2174.79,2017.04,2490.29,2017.04,-1.0,-7.2536,-115.64,265,stop
1781481600000,1782316800000,1721.93,1603.44,1958.91,1603.44,-1.0,-6.8812,-114.62,58,stop
1784246400000,1787140800000,1846.0,1713.44,2111.12,2111.12,2.0,14.3619,217.39,201,target
