entry_ts,exit_ts,entry,stop,target,exit,r,pnl_pct,pnl_abs,bars_held,reason
1604750400000,1608753600000,1.9482,1.2733,3.298,1.2733,-1.0,-34.6422,-100.48,278,stop
1609675200000,1610107200000,2.1,1.2616,3.7768,3.7768,2.0,79.8476,197.3,30,target
1613822400000,1614024000000,9.93,7.5182,14.7536,14.7536,2.0,48.576,200.9,14,target
1614096000000,1618761600000,15.2422,7.5182,30.6902,30.6902,2.0,101.3502,205.34,324,target
1618790400000,1619913600000,30.707,21.1,49.921,49.921,2.0,62.5721,209.18,78,target
1620835200000,1620921600000,47.15,39.0,63.45,39.0,-1.0,-17.2853,-108.25,6,stop
1627272000000,1628841600000,29.548,22.1,44.444,44.444,2.0,50.4129,211.03,109,target
1630425600000,1630987200000,106.91,66.03,188.67,188.67,2.0,76.4755,215.52,39,target
1634760000000,1635883200000,169.95,144.56,220.73,220.73,2.0,29.8794,218.91,78,target
1662480000000,1662494400000,33.56,30.44,39.8,30.44,-1.0,-9.2968,-114.8,1,stop
1663070400000,1663790400000,36.3,30.31,48.28,30.31,-1.0,-16.5014,-112.58,50,stop
1666900800000,1667649600000,30.5,26.84,37.82,37.82,2.0,24.0,218.38,52,target
1674259200000,1678392000000,25.0,17.0,41.0,17.0,-1.0,-32.0,-112.99,287,stop
1678809600000,1686369600000,21.47,16.0,32.41,16.0,-1.0,-25.4774,-112.04,525,stop
1687291200000,1688659200000,16.3,14.06,20.78,20.78,2.0,27.4847,218.48,95,target
1688932800000,1689292800000,21.0,17.01,28.98,28.98,2.0,38.0,223.27,25,target
1691524800000,1692302400000,24.29,22.23,28.41,22.23,-1.0,-8.4809,-117.16,54,stop
1709654400000,1709654400000,137.8,105.29,202.82,105.29,-1.0,-23.5922,-114.25,0,stop
1715112000000,1722830400000,149.34,118.47,211.08,118.47,-1.0,-20.671,-113.23,536,stop
1727380800000,1727884800000,154.0,139.43,183.14,139.43,-1.0,-9.461,-113.36,35,stop
1728964800000,1730937600000,154.02,135.52,191.02,191.02,2.0,24.0229,217.93,137,target
1740960000000,1741550400000,169.69,125.55,257.97,125.55,-1.0,-26.0121,-112.92,41,stop
1742918400000,1743624000000,144.96,121.76,191.36,121.76,-1.0,-16.0044,-112.32,49,stop
1751313600000,1753142400000,154.77,130.68,202.95,202.95,2.0,31.1301,218.2,127,target
1757332800000,1758211200000,213.02,194.19,250.68,250.68,2.0,17.6791,221.44,61,target
1767715200000,1769356800000,140.08,122.99,174.26,122.99,-1.0,-12.2002,-116.07,114,stop
